2025-07-12 03:36:03,307 - INFO - >> Received scrape/start request
2025-07-12 03:36:03,310 - INFO - >> Scraper scheduled
2025-07-12 03:36:03,320 - INFO -  run_scraper() called
2025-07-12 03:36:03,322 - INFO -  Starting Telegram Scraper
2025-07-12 03:36:03,327 - INFO - Connecting to 149.154.167.92:443/TcpFull...
2025-07-12 03:36:03,571 - INFO - Connection to 149.154.167.92:443/TcpFull complete!
2025-07-12 03:36:04,801 - INFO -  Scraping lobelia4cosmetics...
2025-07-12 03:45:49,451 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:45:55,669 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:45:59,813 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:46:01,995 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:46:04,209 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:46:12,063 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:46:19,584 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:46:21,670 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:46:26,608 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:46:28,821 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:46:31,567 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:46:35,492 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:46:38,615 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:46:46,293 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:46:50,481 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:46:53,679 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:46:55,335 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:46:56,973 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:47:00,407 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:47:02,100 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:47:05,729 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:47:08,427 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:47:10,811 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:47:13,839 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:47:15,721 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:47:17,566 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:47:19,607 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:47:23,037 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:47:26,304 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:47:31,002 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:47:35,717 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:47:43,938 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:47:45,404 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:47:48,492 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:47:49,873 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:47:51,552 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:48:00,740 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
